Station Name,City,State,AQI,Latitude,Longitude
"Bardowali, Agartala, India",Bardowali,Agartala,140,23.8175497,91.2726974
"Rohta, Agra, India",Rohta,Agra,60,27.106972,78.000111
"Sector-3B Avas Vikas Colony, Agra, India",Sector-3B Avas Vikas Colony,Agra,104,27.19412,77.96237
"SAC ISRO Satellite, Ahmedabad, India",SAC ISRO Satellite,Ahmedabad,126,23.023389,72.515201
"Sikulpuikawn, Aizawl, India",Sikulpuikawn,Aizawl,85,23.7176342,92.7192841
"Civil Lines, Ajmer, India",Civil Lines,Ajmer,95,26.470859,74.646594
"Moti Doongri, Alwar, India",Moti Doongri,Alwar,121,27.554793,76.611536
"Secretariat, Amaravati, India",Secretariat,Amaravati,55,16.5150833,80.5181667
"Patti Mehar, Ambala, India",Patti Mehar,Ambala,116,30.379589,76.778328
"Golden Temple, Amritsar, India",Golden Temple,Amritsar,102,31.62,74.876512
"Gulzarpet, Anantapur, India",Gulzarpet,Anantapur,116,14.675886,77.593027
"GIDC, Ankleshwar, India",GIDC,Ankleshwar,91,21.613267,73.010555
"Kharahiya Basti, Araria, India",Kharahiya Basti,Araria,158,26.146529,87.454184
"New DM Office, Arrah, India",New DM Office,Arrah,55,25.5626095,84.663264
"Asansol Court Area, Asansol, India",Asansol Court Area,Asansol,136,23.685297,86.945968
"Gurdeo Nagar, Aurangabad, India",Gurdeo Nagar,Aurangabad,57,24.75746,84.366208
"More Chowk, Waluj, Aurangabad, India",Waluj,Aurangabad,74,19.8389439,75.244448
"HIMUDA Complex Phase-1, Baddi, India",HIMUDA Complex Phase-1,Baddi,156,30.943887,76.801991
"Vidayagiri, Bagalkot, India",Vidayagiri,Bagalkot,69,16.172806,75.659694
"Sardar Patel Inter College, Baghpat, India",Sardar Patel Inter College,Baghpat,57,28.964949,77.278761
"Arya Nagar, Bahadurgarh, India",Arya Nagar,Bahadurgarh,344,28.6701,76.9254
"Bakuo street, Lhasa (拉萨八廓街)",Bakuo street,Bakuo street,47,29.6514,91.1319
"Nathu Colony, Ballabgarh, India",Nathu Colony,Ballabgarh,169,28.3419248,77.319699
"Civil Lines, Bareilly, India",Civil Lines,Bareilly,68,28.359581,79.414455
"Rajendra Nagar, Bareilly, India",Rajendra Nagar,Bareilly,38,28.38910936,79.42963708
"Hardev Nagar, Bathinda, India",Hardev Nagar,Bathinda,75,30.233011,74.907758
"DRCC Anandpur, Begusarai, India",DRCC Anandpur,Begusarai,87,25.444266,86.140169
"Ramteerth Nagar, Belgaum, India",Ramteerth Nagar,Belgaum,-,15.888653,74.541751
"BWSSB Kadabesanahalli, Bengaluru, India",BWSSB Kadabesanahalli,Bengaluru,-,12.9352049,77.6814488
"Jayanagar 5th Block, Bengaluru, India",Jayanagar 5th Block,Bengaluru,120,12.920984,77.584908
"Kamalnath Nagar, Bettiah, India",Kamalnath Nagar,Bettiah,10,26.80365,84.51954
"Birendra School, Bhaktapur, Nepal",Birendra School,Bhaktapur,81,27.673762,85.417528
"Civic Center, Bhilai, India",Civic Center,Bhilai,28,21.185571,81.343175
"H.B. Colony, Bhiwani, India",H.B. Colony,Bhiwani,144,28.806223,76.141105
"Paryavaran Parisar, Bhopal, India",Paryavaran Parisar,Bhopal,154,23.210494,77.425409
"D M Colony, Bihar Sharif, India",D M Colony,Bihar Sharif,60,25.204762,85.51496
"Mangala, Bilaspur, India",Mangala,Bilaspur,66,22.08815,82.13737
"GM Office, Brajrajnagar, India",GM Office,Brajrajnagar,33,21.8004996,83.8396977
"Yamunapuram, Bulandshahr, India",Yamunapuram,Bulandshahr,69,28.406963,77.849831
"Central Jail, Buxar, India",Central Jail,Buxar,78,25.555605,83.950942
"Urban, Chamarajanagar, India",Urban,Chamarajanagar,63,11.55358,76.55521
"Chandrapur, Chandrapur, India",Chandrapur,Chandrapur,96,19.645324,77.6345232
"MIDC Khutala, Chandrapur, India",MIDC Khutala,Chandrapur,122,19.9775302,79.2337086
"Mini Secretariat, Charkhi Dadri, India",Mini Secretariat,Charkhi Dadri,96,28.593883,76.270653
"Manali, Chennai, Chennai, India",Chennai,Chennai,101,13.164544,80.26285
"Perungudi, Chennai, Chennai, India",Chennai,Chennai,72,12.9533,80.2357
"Darshan Nagar, Chhapra, India",Darshan Nagar,Chhapra,16,25.7808257,84.7446768
"Chikkaballapur Rural, Chikkaballapur, India",Chikkaballapur Rural,Chikkaballapur,87,13.428828,77.731418
"Kalyana Nagara, Chikkamagaluru, India",Kalyana Nagara,Chikkamagaluru,-,13.328028,75.797056
"SIDCO Kurichi, Coimbatore, India",SIDCO Kurichi,Coimbatore,59,10.942451,76.978996
"Shrivastav Colony, Damoh, India",Shrivastav Colony,Damoh,63,23.81748678,79.446246
"Doon University, Dehradun, India",Doon University,Dehradun,118,30.269444,78.044167
"Mandir Marg, Delhi, Delhi, India",Delhi,Delhi,155,28.6341,77.2005
"Bhopal Chauraha, Dewas, India",Bhopal Chauraha,Dewas,86,22.9682591,76.064118
"Dhankuta, Nepal",Dhankuta,Dhankuta,-,26.98066,87.34392
