Station Name,City,State,AQI,Latitude,Longitude
"GVM Corporation, Visakhapatnam, India",GVM Corporation,Andhra Pradesh,93,17.72,83.3
"Secretariat, Amaravati, India",Secretariat,Andhra Pradesh,53,16.5150833,80.5181667
"Tirumala-APPCB, Tirupati, India",Tirumala-APPCB,Andhra Pradesh,90,13.67,79.35
"Railway Colony, Guwahati, India",Railway Colony,Assam,168,26.181742,91.78063
"Buddha Colony, Muzaffarpur, India",Buddha Colony,Bihar,156,26.11442,85.39813
"Chitragupta Nagar, Siwan, India",Chitragupta Nagar,Bihar,76,26.2271665,84.3570427
"Dangi Tola, Rajgir, India",Dangi Tola,Bihar,70,25.0328,85.41948
"Govt. High School Shikarpur, Patna, India",Govt. High School Shikarpur,Bihar,121,25.592539,85.227158
"MIT-Daudpur Kothi, Muzaffarpur, India",MIT-Daudpur Kothi,Bihar,128,26.1403345,85.3650192
"Muzaffarpur Collectorate, Muzaffarpur, India",Muzaffarpur Collectorate,Bihar,151,26.1209,85.3647
"SFTI Kusdihra, Gaya, India",SFTI Kusdihra,Bihar,97,24.762518,84.982348
"Samanpura, Patna, India",Samanpura,Bihar,151,25.596727,85.085624
"Mandir Marg, Delhi, Delhi, India",Delhi,Delhi,155,28.6341,77.2005
"GIFT City, Gandhinagar, India",GIFT City,Gujarat,100,23.163798,72.677768
"Phase-1 GIDC, Vapi, India",Phase-1 GIDC,Gujarat,77,20.362421,72.918013
"Phase-4 GIDC, Vatva, India",Phase-4 GIDC,Gujarat,152,22.969611,72.6435
"SAC ISRO Satellite, Ahmedabad, India",SAC ISRO Satellite,Gujarat,126,23.023389,72.515201
"Rajbagh, Srinagar, India",Rajbagh,Jammu & Kashmir,44,34.066206,74.81982
"B.Katihalli, Hassan, India",B.Katihalli,Karnataka,-,13.008556,76.125258
"BWSSB Kadabesanahalli, Bengaluru, India",BWSSB Kadabesanahalli,Karnataka,-,12.9352049,77.6814488
"Collector Office, Yadgir, India",Collector Office,Karnataka,119,16.7602,77.1428
"Hebbal 1st Stage, Mysuru, India",Hebbal 1st Stage,Karnataka,52,12.21041,76.37376
"Jayanagar 5th Block, Bengaluru, India",Jayanagar 5th Block,Karnataka,118,12.920984,77.584908
"Borivali East, Mumbai, India",Borivali East,Maharashtra,99,19.23241,72.86895
"Gangapur Road, Nashik, India",Gangapur Road,Maharashtra,41,20.0073285,73.7762427
"Khadakpada, Kalyan, India",Khadakpada,Maharashtra,54,19.25292,73.142019
"Kurla, Mumbai, India",Kurla,Maharashtra,129,19.0863,72.8888
"Navy Nagar-Colaba, Mumbai, India",Navy Nagar-Colaba,Maharashtra,119,18.897756,72.81332
"Opp GPO Civil Lines, Nagpur, India",Opp GPO Civil Lines,Maharashtra,96,21.152875,79.0517531
"Powai, Mumbai, India",Powai,Maharashtra,68,19.1375,72.915056
"JN Stadium, Shillong, India",JN Stadium,Meghalaya,84,25.5803419,91.8942571
"Sikulpuikawn, Aizawl, India",Sikulpuikawn,Mizoram,82,23.7176342,92.7192841
"PWD Juction, Kohima, India",PWD Juction,Nagaland,-,25.6635413,94.0989878
"Anand Kala Kshetram, Rajamahendravaram, India",Anand Kala Kshetram,Other/India,53,16.9872867,81.7363176
"Anand Vihar, Hapur, India",Anand Vihar,Other/India,75,28.725645,77.749675
"Anthoni Pillai Nagar, Gummidipoondi, India",Anthoni Pillai Nagar,Other/India,68,13.4127,80.1081
"Arya Nagar, Bahadurgarh, India",Arya Nagar,Other/India,344,28.6701,76.9254
"Bakuo street, Lhasa (拉萨八廓街)",Bakuo street,Other/India,47,29.6514,91.1319
"Bandhavgar Colony, Satna, India",Bandhavgar Colony,Other/India,88,24.58434363,80.8549414
"Bhopal Chauraha, Dewas, India",Bhopal Chauraha,Other/India,87,22.9682591,76.064118
"Brahmagiri, Udupi, India",Brahmagiri,Other/India,36,13.34194444,74.74694444
"Central Jail, Buxar, India",Central Jail,Other/India,78,25.555605,83.950942
"Chandrapur, Chandrapur, India",Chandrapur,Other/India,92,19.645324,77.6345232
"Chhoti Gwaltoli, Indore, India",Chhoti Gwaltoli,Other/India,85,22.431,75.5213
"Chikkaballapur Rural, Chikkaballapur, India",Chikkaballapur Rural,Other/India,85,13.428828,77.731418
"City Center, Gwalior, India",City Center,Other/India,53,26.203442,78.193251
"Civic Center, Bhilai, India",Civic Center,Other/India,28,21.185571,81.343175
"Civil Line, Jalandhar, India",Civil Line,Other/India,98,31.321907,75.578914
"Corporation Ground, Thrissur, India",Corporation Ground,Other/India,93,10.5324,76.2159
"D M Colony, Bihar Sharif, India",D M Colony,Other/India,57,25.204762,85.51496
"DM Office_Kasipur, Samastipur, India",DM Office_Kasipur,Other/India,72,25.859655,85.77944
"DRCC Anandpur, Begusarai, India",DRCC Anandpur,Other/India,91,25.444266,86.140169
"Dada Peer, Sasaram, India",Dada Peer,Other/India,40,24.952822,84.002396
"Darshan Nagar, Chhapra, India",Darshan Nagar,Other/India,9,25.7808257,84.7446768
"Deen Dayal Nagar, Sagar, India",Deen Dayal Nagar,Other/India,55,23.8640158,78.80289321
"Diwator Nagar, Koppal, India",Diwator Nagar,Other/India,661,15.34763,76.181767
"Doon University, Dehradun, India",Doon University,Other/India,117,30.269444,78.044167
"Employment Office, Moradabad, India",Employment Office,Other/India,92,28.88528,78.7388
"F-Block, Sirsa, India",F-Block,Other/India,78,29.5364,75.0158
"Forest Rest House, Manguraha, India",Forest Rest House,Other/India,124,25.357288,84.107844
"GIDC, Ankleshwar, India",GIDC,Other/India,91,21.613267,73.010555
"GIDC, Nandesari, India",GIDC,Other/India,87,22.410802,73.097923
"GM Office, Brajrajnagar, India",GM Office,Other/India,32,21.8004996,83.8396977
"Gandak Colony, Motihari, India",Gandak Colony,Other/India,70,26.63086,84.90051
"General Hospital, Mandikhera, India",General Hospital,Other/India,82,27.9002,76.9938
"Girls College, Sivasagar, India",Girls College,Other/India,59,26.987634,94.636574
"Gobind Pura, Yamuna Nagar, India",Gobind Pura,Other/India,131,30.1480566,77.2893471
"Golden Temple, Amritsar, India",Golden Temple,Other/India,103,31.62,74.876512
"Gole Bazar, Katni, India",Gole Bazar,Other/India,74,23.50016,80.23284
"Gulzarpet, Anantapur, India",Gulzarpet,Other/India,114,14.675886,77.593027
"Gurdeo Nagar, Aurangabad, India",Gurdeo Nagar,Other/India,57,24.75746,84.366208
"H.B. Colony, Bhiwani, India",H.B. Colony,Other/India,144,28.806223,76.141105
"HIMUDA Complex Phase-1, Baddi, India",HIMUDA Complex Phase-1,Other/India,155,30.943887,76.801991
"Haji Colony, Raichur, India",Haji Colony,Other/India,-,16.208139,77.348417
